date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:00	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Project%20Management/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/dashmin/index.html)
11:45:00	194890/194890	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-2f94a%22	https://themewagon.github.io/dashmin/lib/chart/chart.min.js	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/lib/chart/chart.min.js	(from https://themewagon.github.io/dashmin/index.html)
11:45:00	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-8fe%22	https://themewagon.github.io/dashmin/lib/easing/easing.min.js	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/lib/easing/easing.min.js	(from https://themewagon.github.io/dashmin/index.html)
11:45:00	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-2344%22	https://themewagon.github.io/dashmin/lib/waypoints/waypoints.min.js	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/lib/waypoints/waypoints.min.js	(from https://themewagon.github.io/dashmin/index.html)
11:45:01	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-a70e%22	https://themewagon.github.io/dashmin/lib/owlcarousel/owl.carousel.min.js	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/lib/owlcarousel/owl.carousel.min.js	(from https://themewagon.github.io/dashmin/index.html)
11:45:01	326657/326657	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-4fc01%22	https://themewagon.github.io/dashmin/lib/tempusdominus/js/moment.min.js	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/lib/tempusdominus/js/moment.min.js	(from https://themewagon.github.io/dashmin/index.html)
11:45:01	32832/32832	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-8040%22	https://themewagon.github.io/dashmin/lib/tempusdominus/js/moment-timezone.min.js	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/lib/tempusdominus/js/moment-timezone.min.js	(from https://themewagon.github.io/dashmin/index.html)
11:45:01	56879/56879	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-de2f%22	https://themewagon.github.io/dashmin/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js	(from https://themewagon.github.io/dashmin/index.html)
11:45:02	5590/5590	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-15d6%22	https://themewagon.github.io/dashmin/js/main.js	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/js/main.js	(from https://themewagon.github.io/dashmin/index.html)
11:45:03	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/My%20Web%20Sites/Project%20Management/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
11:45:18	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/My%20Web%20Sites/Project%20Management/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
11:45:19	4976/4976	---M--	200	added ('OK')	image/png	etag:%22639aba88-1370%22	https://themewagon.github.io/dashmin/lib/owlcarousel/assets/owl.video.play.png	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/lib/owlcarousel/assets/owl.video.play.png	(from https://themewagon.github.io/dashmin/lib/owlcarousel/assets/owl.carousel.min.css)
11:45:19	3451/3451	---M--	200	added ('OK')	image/jpeg	etag:%22639aba88-d7b%22	https://themewagon.github.io/dashmin/img/testimonial-1.jpg	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/img/testimonial-1.jpg	(from https://themewagon.github.io/dashmin/widget.html)
11:45:19	3066/3066	---M--	200	added ('OK')	image/jpeg	etag:%22639aba88-bfa%22	https://themewagon.github.io/dashmin/img/testimonial-2.jpg	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/img/testimonial-2.jpg	(from https://themewagon.github.io/dashmin/widget.html)
11:45:20	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
